"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"FYEAR",1,100,2010.02,0.803778953481992,2010,2010.025,1.4826,2009,2011,2,-0.0354021893530169,-1.46683217829624,0.0803778953481992
"TTASSET",2,100,272984483.22,535994565.358032,79282000,129410006.75,92771471.1,833000,2762657000,2761824000,2.93628420945271,8.61898875306692,53599456.5358032
"TTCRASSET",3,100,85782681.14,185990981.238834,17757000,38443152.5875,25124073.6243,66073,983383000,983316927,3.40633063712653,11.8003592759748,18599098.1238834
"TTNCRASSET",4,100,187201802.08,407297872.734158,31699841.5,79339765.95,40904699.0079,17000,2578814000,2578797000,3.38627955951047,13.0058744479432,40729787.2734158
"TTLIAB",5,100,80453218.12,235383454.170809,5579508.5,21643270.8625,7936380.7803,42000,1544738000,1544696000,4.5993905286665,22.956271913193,23538345.4170809
"TTCRLIAB",6,100,40419063.67,99688093.254989,4893496.5,15596089.95,6702580.3341,42000,736243000,736201000,4.42316329793403,23.8246844887299,9968809.3254989
"TTNCRLIAB",7,100,40034154.45,178568137.910083,10000,1675505.5625,14826,0,1474901000,1474901000,6.05233035034994,41.3424302823801,17856813.7910083
"TTEQUITY",8,100,192531265.1,360532484.896539,56422500,97168133.3,63154312.9413,-29287000,1908011000,1937298000,2.80177668791146,7.83764029489772,36053248.4896539
"PUCAP",9,100,10.52,99.9528656594465,0,0.325,0,0,1000,1000,9.70040095063191,93.0389833713357,9.99528656594465
"SHARECAP",10,100,144698208.23,258394330.966953,54670500,90848713.55,60909655.8,916080,1907108000,1906191920,4.27337621072904,22.6407940328271,25839433.0966953
"OTHERRESERVESTT",11,100,8964979.96,57474014.5644378,0,1888641.375,234095.127,-261806000,400541000,662347000,3.26461658526295,28.5914547160662,5747401.45644378
"RETAINEARN",12,100,38497282.73,170096439.094521,2773927,8551616.3125,22539907.7547,-292004000,925583000,1217587000,3.28292547017852,12.6028790780432,17009643.9094521
"AR_CURRWCAP",13,100,21.913,110.413119897295,2.48,4.88375,2.587137,0,1087.76,1087.76,9.0205829705812,83.8687817712682,11.0413119897295
"AR_PROPRATIO",14,100,39.5475,360.713031967325,87.83,81.248,16.397556,-3515.85,99.98,3615.83,-9.57464813475934,91.3862492638077,36.0713031967325
"AR_TOTALDEBT",15,100,60.4525,360.713031967325,12.17,18.752,16.397556,0.02,3615.85,3615.83,9.57464813475934,91.3862492638077,36.0713031967325
