"","FYEAR","TTASSET","TTCRASSET","TTNCRASSET","TTLIAB","TTCRLIAB","TTNCRLIAB","TTEQUITY","PUCAP","SHARECAP","OTHERRESERVESTT","RETAINEARN","AR_CURRWCAP","AR_PROPRATIO","AR_TOTALDEBT"
"FYEAR",1,-0.0456942124570704,-0.0882641987327167,-0.0198270237959687,-0.032440693989738,-0.0909027025683818,0.00798526825923807,-0.0467526440596312,0.122705758288622,-0.00963218612396765,-0.101619814210007,-0.0384133946233572,0.111767703536713,0.0134247065117309,-0.0134247065117309
"TTASSET",-0.0456942124570704,1,0.782380475923806,0.958705849155568,0.842995809818309,0.720889617350219,0.708766724270377,0.936302036384739,0.0224273116283111,0.778511769692004,0.418999231932203,0.654093921890898,-0.0230095455466065,0.0441859238880056,-0.0441859238880056
"TTCRASSET",-0.0882641987327167,0.782380475923806,1,0.572948491805334,0.689671263436358,0.84299116159346,0.438493807553529,0.712874677523577,-0.0253624043367828,0.592488308315697,0.2459013459847,0.516464268307988,-0.011300260509776,0.0326481774937851,-0.0326481774937851
"TTNCRASSET",-0.0198270237959687,0.958705849155568,0.572948491805334,1,0.794427271351463,0.563725418600893,0.732484107463603,0.906620355721742,0.0410954653535963,0.753945984850344,0.439103394713624,0.624931059966465,-0.0251198091342584,0.0432389896449587,-0.0432389896449587
"TTLIAB",-0.032440693989738,0.842995809818309,0.689671263436358,0.794427271351463,1,0.712904530165272,0.920182977819536,0.600383398387842,-0.0327687577252401,0.468312628714445,0.424526936852128,0.413011033250836,-0.0611392545644577,8.87154513684987e-05,-8.87154513684984e-05
"TTCRLIAB",-0.0909027025683818,0.720889617350219,0.84299116159346,0.563725418600893,0.712904530165272,1,0.381466919835559,0.606289295626595,-0.0347534865771606,0.332829005399939,0.391075942482949,0.632067407190607,-0.0734059423672412,0.00674545223367461,-0.00674545223367461
"TTNCRLIAB",0.00798526825923807,0.708766724270377,0.438493807553529,0.732484107463603,0.920182977819536,0.381466919835559,1,0.452939114693242,-0.023793240054689,0.43151010114214,0.341275898791478,0.19155919631645,-0.039612164742382,-0.00364879832181639,0.00364879832181639
"TTEQUITY",-0.0467526440596312,0.936302036384739,0.712874677523577,0.906620355721742,0.600383398387842,0.606289295626595,0.452939114693242,1,0.0547360955179455,0.851643184196486,0.345751630274912,0.702779456399653,0.00570871598730402,0.0656321799315909,-0.0656321799315909
"PUCAP",0.122705758288622,0.0224273116283111,-0.0253624043367828,0.0410954653535963,-0.0327687577252401,-0.0347534865771606,-0.023793240054689,0.0547360955179455,1,0.0647311796640335,-0.0268442181680844,0.0356262889047714,-0.014417409158615,0.013962690535914,-0.013962690535914
"SHARECAP",-0.00963218612396765,0.778511769692004,0.592488308315697,0.753945984850344,0.468312628714445,0.332829005399939,0.43151010114214,0.851643184196486,0.0647311796640335,1,0.0679086523431976,0.257789519555812,0.0336757466623947,0.0320216359221253,-0.0320216359221253
"OTHERRESERVESTT",-0.101619814210007,0.418999231932203,0.2459013459847,0.439103394713624,0.424526936852128,0.391075942482949,0.341275898791478,0.345751630274912,-0.0268442181680844,0.0679086523431976,1,0.291685032085062,-0.0398204900453981,0.0063686142193663,-0.00636861421936629
"RETAINEARN",-0.0384133946233572,0.654093921890898,0.516464268307988,0.624931059966465,0.413011033250836,0.632067407190607,0.19155919631645,0.702779456399653,0.0356262889047714,0.257789519555812,0.291685032085062,1,-0.0250711559475972,0.088190599350613,-0.088190599350613
"AR_CURRWCAP",0.111767703536713,-0.0230095455466065,-0.011300260509776,-0.0251198091342584,-0.0611392545644577,-0.0734059423672412,-0.039612164742382,0.00570871598730402,-0.014417409158615,0.0336757466623947,-0.0398204900453981,-0.0250711559475972,1,0.032299527861577,-0.032299527861577
"AR_PROPRATIO",0.0134247065117309,0.0441859238880056,0.0326481774937851,0.0432389896449587,8.87154513684987e-05,0.00674545223367461,-0.00364879832181639,0.0656321799315909,0.013962690535914,0.0320216359221253,0.0063686142193663,0.088190599350613,0.032299527861577,1,-1
"AR_TOTALDEBT",-0.0134247065117309,-0.0441859238880056,-0.0326481774937851,-0.0432389896449587,-8.87154513684984e-05,-0.00674545223367461,0.00364879832181639,-0.0656321799315909,-0.013962690535914,-0.0320216359221253,-0.00636861421936629,-0.088190599350613,-0.032299527861577,-1,1
